|CUI              |NOMBRE           |ANIO |TOTAL_SUSPENSIONES|TOTAL_PAGADO|
|-----------------|-----------------|-----|------------------|------------|
|1.000.000.000.001|Juan Pérez       |2.025|1                 |800         |
|1.000.000.000.002|María González   |2.025|1                 |1.800       |
|1.000.000.000.003|Pedro Ramírez    |2.025|1                 |800         |
|1.000.000.000.004|Ana Morales      |2.025|1                 |22.650      |
|1.000.000.000.005|Luis Vásquez     |2.025|1                 |31.000      |
|1.000.000.000.016|Gabriela Rivas   |2.024|2                 |39.200      |
|1.000.000.000.017|Eduardo Navarro  |2.024|2                 |47.875      |
|1.000.000.000.018|Daniela Aguilar  |2.024|1                 |10.500      |
|1.000.000.000.019|Raúl Molina      |2.024|2                 |72.400      |
|1.000.000.000.020|Lucía Cordero    |2.024|2                 |69.900      |
|1.000.000.000.021|Oscar Pineda     |2.024|1                 |25.750      |
|1.000.000.000.031|Alberto Carrillo |2.024|1                 |145.000     |
|1.000.000.000.032|Diana Aguirre    |2.024|1                 |107.500     |
|1.000.000.000.033|Gustavo Villatoro|2.024|1                 |112.300     |
|1.000.000.000.034|Sara Juárez      |2.024|1                 |138.000     |
|1.000.000.000.035|Ernesto Maldonado|2.024|1                 |124.800     |
|1.000.000.000.036|Claudia Arriola  |2.024|1                 |131.400     |
|2.456.767.672.513|María González   |2.024|1                 |600.000     |
|2.456.767.672.537|Ana Morales      |2.025|1                 |1.100.000   |
|2.456.767.672.525|Pedro Ramírez    |2.025|1                 |1.150.000   |
|2.456.767.672.513|María González   |2.025|1                 |750.000     |
|2.456.767.672.537|Ana Morales      |2.024|1                 |1.100.000   |
|2.456.767.672.525|Pedro Ramírez    |2.024|1                 |800.000     |
